learner,environment,seed,R_clean,R_noisy,DeltaR_noise
L3,ENV-3,223691,0.2375,0.22343749999999998,-0.014062500000000006
L4,ENV-3,223691,0.2125,0.2234375,0.010937500000000017
L0,ENV-3,537173,0.05384615384615385,0.05384615384615385,0.0
L1,ENV-3,537173,0.18461538461538463,0.1980769230769231,0.01346153846153847
L2,ENV-3,537173,0.14615384615384616,0.15384615384615385,0.007692307692307693
L3,ENV-3,537173,0.18461538461538463,0.1980769230769231,0.01346153846153847
L4,ENV-3,537173,0.18461538461538463,0.1923076923076923,0.007692307692307665
L0,ENV-3,538839,0.1,0.09375,-0.0062500000000000056
L1,ENV-3,538839,0.2,0.20625,0.006249999999999978
L2,ENV-3,538839,0.30833333333333335,0.2916666666666667,-0.016666666666666663
L3,ENV-3,538839,0.2,0.20625,0.006249999999999978
L4,ENV-3,538839,0.21666666666666667,0.20833333333333334,-0.008333333333333331
L0,ENV-3,965182,0.15333333333333332,0.19,0.03666666666666668
L1,ENV-3,965182,0.2733333333333333,0.265,-0.008333333333333304
L2,ENV-3,965182,0.24,0.23666666666666666,-0.003333333333333327
L3,ENV-3,965182,0.26,0.26,0.0
L4,ENV-3,965182,0.28,0.28,0.0
L0,ENV-4,124586,0.005555555555555556,0.008333333333333333,0.0027777777777777775
L1,ENV-4,124586,0.2777777777777778,0.26666666666666666,-0.011111111111111127
L2,ENV-4,124586,0.2,0.20694444444444443,0.00694444444444442
L3,ENV-4,124586,0.2722222222222222,0.2708333333333333,-0.001388888888888884
L4,ENV-4,124586,0.25,0.24722222222222223,-0.002777777777777768
L0,ENV-4,223691,0.0,0.0,0.0
L1,ENV-4,223691,0.027777777777777776,0.03194444444444444,0.004166666666666666
L2,ENV-4,223691,0.07222222222222222,0.07777777777777778,0.005555555555555564
L3,ENV-4,223691,0.027777777777777776,0.03194444444444444,0.004166666666666666
L4,ENV-4,223691,0.044444444444444446,0.05,0.005555555555555557
L0,ENV-4,537173,0.011111111111111112,0.013888888888888888,0.0027777777777777766
L1,ENV-4,537173,0.08888888888888889,0.08472222222222221,-0.00416666666666668
L2,ENV-4,537173,0.1,0.1013888888888889,0.0013888888888888978
L3,ENV-4,537173,0.08333333333333333,0.08472222222222221,0.001388888888888884
L4,ENV-4,537173,0.08888888888888889,0.1,0.011111111111111113
L0,ENV-4,538839,0.022222222222222223,0.020833333333333336,-0.0013888888888888874
L1,ENV-4,538839,0.3333333333333333,0.30833333333333335,-0.024999999999999967
L2,ENV-4,538839,0.05,0.044444444444444446,-0.005555555555555557
L3,ENV-4,538839,0.3333333333333333,0.3138888888888889,-0.01944444444444443
L4,ENV-4,538839,0.28888888888888886,0.2777777777777778,-0.011111111111111072
L0,ENV-4,965182,0.016666666666666666,0.016666666666666666,0.0
L1,ENV-4,965182,0.14444444444444443,0.14583333333333331,0.001388888888888884
L2,ENV-4,965182,0.38333333333333336,0.37222222222222223,-0.011111111111111127
L3,ENV-4,965182,0.1388888888888889,0.14444444444444443,0.005555555555555536
L4,ENV-4,965182,0.12777777777777777,0.13055555555555554,0.002777777777777768
