learner,environment,seed,R_clean,R_noisy,DeltaR_noise,E_noise,DeltaR_clean_vs_L0,cell_clean_guard_exceeds_0_02,cell_noise_practical_win_lt_minus_0_01,cell_noise_worse_gt_0
L4,ENV-2,537173,0.62875,0.625,-0.003750000000000031,-0.03875000000000006,0.32,True,True,False
L1,ENV-2,538839,0.6275,0.628125,0.0006250000000000977,-0.024687499999999862,0.3212499999999999,True,True,False
L2,ENV-2,538839,0.37875,0.38312500000000005,0.004375000000000073,-0.020937499999999887,0.07249999999999995,True,True,False
L3,ENV-2,538839,0.6575,0.665,0.007500000000000062,-0.017812499999999898,0.35124999999999995,True,True,False
L4,ENV-2,538839,0.5875,0.6053124999999999,0.017812499999999898,-0.007500000000000062,0.28125,True,False,False
L1,ENV-2,965182,0.6075,0.61,0.0024999999999999467,-0.07812500000000006,0.35750000000000004,True,True,False
L2,ENV-2,965182,0.5925,0.5943750000000001,0.001875000000000071,-0.07874999999999993,0.3425,True,True,False
L3,ENV-2,965182,0.7175,0.7153125,-0.002187500000000009,-0.08281250000000001,0.4675,True,True,False
L4,ENV-2,965182,0.62875,0.626875,-0.001875000000000071,-0.08250000000000007,0.37875000000000003,True,True,False
L1,ENV-3,124586,0.20909090909090908,0.21818181818181817,0.009090909090909094,-0.00909090909090908,0.16363636363636364,True,False,False
L2,ENV-3,124586,0.09090909090909091,0.10454545454545454,0.013636363636363627,-0.004545454545454547,0.045454545454545456,True,False,False
L3,ENV-3,124586,0.20909090909090908,0.21590909090909088,0.006818181818181807,-0.011363636363636367,0.16363636363636364,True,True,False
L4,ENV-3,124586,0.20909090909090908,0.22045454545454546,0.011363636363636381,-0.006818181818181793,0.16363636363636364,True,False,False
L1,ENV-3,223691,0.2375,0.2265625,-0.010937499999999989,-0.026562499999999975,0.1875,True,True,False
L2,ENV-3,223691,0.11875,0.10625,-0.012499999999999997,-0.028124999999999983,0.06874999999999999,True,True,False
L3,ENV-3,223691,0.2375,0.22343749999999998,-0.014062500000000006,-0.02968749999999999,0.1875,True,True,False
L4,ENV-3,223691,0.2125,0.2234375,0.010937500000000017,-0.0046874999999999695,0.16249999999999998,True,False,False
L1,ENV-3,537173,0.18461538461538463,0.1980769230769231,0.01346153846153847,0.01346153846153847,0.13076923076923078,True,False,True
L2,ENV-3,537173,0.14615384615384616,0.15384615384615385,0.007692307692307693,0.007692307692307693,0.09230769230769231,True,False,True
L3,ENV-3,537173,0.18461538461538463,0.1980769230769231,0.01346153846153847,0.01346153846153847,0.13076923076923078,True,False,True
L4,ENV-3,537173,0.18461538461538463,0.1923076923076923,0.007692307692307665,0.007692307692307665,0.13076923076923078,True,False,True
L1,ENV-3,538839,0.2,0.20625,0.006249999999999978,0.012499999999999983,0.1,True,False,True
L2,ENV-3,538839,0.30833333333333335,0.2916666666666667,-0.016666666666666663,-0.010416666666666657,0.20833333333333334,True,True,False
L3,ENV-3,538839,0.2,0.20625,0.006249999999999978,0.012499999999999983,0.1,True,False,True
L4,ENV-3,538839,0.21666666666666667,0.20833333333333334,-0.008333333333333331,-0.002083333333333326,0.11666666666666667,True,False,False
L1,ENV-3,965182,0.2733333333333333,0.265,-0.008333333333333304,-0.044999999999999984,0.12,True,True,False
L2,ENV-3,965182,0.24,0.23666666666666666,-0.003333333333333327,-0.04000000000000001,0.08666666666666667,True,True,False
L3,ENV-3,965182,0.26,0.26,0.0,-0.03666666666666668,0.10666666666666669,True,True,False
L4,ENV-3,965182,0.28,0.28,0.0,-0.03666666666666668,0.1266666666666667,True,True,False
L1,ENV-4,124586,0.2777777777777778,0.26666666666666666,-0.011111111111111127,-0.013888888888888905,0.27222222222222225,True,True,False
L2,ENV-4,124586,0.2,0.20694444444444443,0.00694444444444442,0.004166666666666642,0.19444444444444445,True,False,True
L3,ENV-4,124586,0.2722222222222222,0.2708333333333333,-0.001388888888888884,-0.004166666666666661,0.26666666666666666,True,False,False
L4,ENV-4,124586,0.25,0.24722222222222223,-0.002777777777777768,-0.005555555555555545,0.24444444444444444,True,False,False
L1,ENV-4,223691,0.027777777777777776,0.03194444444444444,0.004166666666666666,0.004166666666666666,0.027777777777777776,True,False,True
L2,ENV-4,223691,0.07222222222222222,0.07777777777777778,0.005555555555555564,0.005555555555555564,0.07222222222222222,True,False,True
L3,ENV-4,223691,0.027777777777777776,0.03194444444444444,0.004166666666666666,0.004166666666666666,0.027777777777777776,True,False,True
L4,ENV-4,223691,0.044444444444444446,0.05,0.005555555555555557,0.005555555555555557,0.044444444444444446,True,False,True
L1,ENV-4,537173,0.08888888888888889,0.08472222222222221,-0.00416666666666668,-0.006944444444444456,0.07777777777777778,True,False,False
L2,ENV-4,537173,0.1,0.1013888888888889,0.0013888888888888978,-0.0013888888888888788,0.08888888888888889,True,False,False
L3,ENV-4,537173,0.08333333333333333,0.08472222222222221,0.001388888888888884,-0.0013888888888888926,0.07222222222222222,True,False,False
L4,ENV-4,537173,0.08888888888888889,0.1,0.011111111111111113,0.008333333333333337,0.07777777777777778,True,False,True
L1,ENV-4,538839,0.3333333333333333,0.30833333333333335,-0.024999999999999967,-0.02361111111111108,0.3111111111111111,True,True,False
L2,ENV-4,538839,0.05,0.044444444444444446,-0.005555555555555557,-0.004166666666666669,0.02777777777777778,True,False,False
L3,ENV-4,538839,0.3333333333333333,0.3138888888888889,-0.01944444444444443,-0.018055555555555543,0.3111111111111111,True,True,False
L4,ENV-4,538839,0.28888888888888886,0.2777777777777778,-0.011111111111111072,-0.009722222222222184,0.26666666666666666,True,False,False
L1,ENV-4,965182,0.14444444444444443,0.14583333333333331,0.001388888888888884,0.001388888888888884,0.12777777777777777,True,False,True
L2,ENV-4,965182,0.38333333333333336,0.37222222222222223,-0.011111111111111127,-0.011111111111111127,0.3666666666666667,True,True,False
L3,ENV-4,965182,0.1388888888888889,0.14444444444444443,0.005555555555555536,0.005555555555555536,0.12222222222222223,True,False,True
L4,ENV-4,965182,0.12777777777777777,0.13055555555555554,0.002777777777777768,0.002777777777777768,0.1111111111111111,True,False,True
