environment,seed,learner,representation_dim,active_representation_dim,task_probe_clean_accuracy,task_probe_noisy_accuracy,task_probe_degradation,task_variable_clean_recoverability,task_variable_noisy_recoverability,relevant_Z_clean_recoverability,relevant_Z_noisy_recoverability,nuisance_clean_recoverability,nuisance_noisy_recoverability,latent_absolute_drift,latent_relative_drift,latent_cosine_drift,task_logit_drift,support_clean_nn_distance,support_noisy_nn_distance,support_shift,interaction_probe_clean_accuracy,interaction_probe_noisy_accuracy,interaction_clean_uplift,interaction_noisy_uplift
ENV-3,610103,L1,8,8,0.85625,0.8104166666666668,0.04583333333333317,0.7033029175375201,0.6927270193551094,1.0,1.0,0.8987101480356754,0.8906192470219215,0.25947120584851496,0.10069773207628623,0.005077391168447742,0.06820133779725517,0.6124167064804745,0.6415679005704961,0.029151194090021537,0.9,0.8562499999999998,0.04375000000000007,0.04583333333333306
ENV-3,610103,L2,8,8,0.60625,0.6354166666666666,-0.029166666666666674,0.991857672892738,0.9879893112730465,1.0,1.0,0.96894451614704,0.9628339683430815,0.17996052237945662,0.0675384766479288,0.002171551315286796,0.061117453257590465,0.478451343825874,0.4919901507679832,0.013538806942109183,0.9875,0.9708333333333332,0.3812500000000001,0.3354166666666666
ENV-3,610103,L3,8,8,0.875,0.8625000000000002,0.012499999999999845,0.776236539963371,0.7683767152386456,1.0,1.0,0.9251368218340763,0.9175525621819652,0.2593291500181527,0.10321649388445898,0.005593799627968875,0.07710517619037491,0.6294586357862745,0.6566493324139339,0.027190696627659383,0.93125,0.9208333333333333,0.05625000000000002,0.058333333333333126
ENV-3,610103,L4,8,8,0.73125,0.725,0.006249999999999978,0.8015121147250851,0.7935011238087629,1.0,1.0,0.9179046183727989,0.9071935423401779,0.2657003836015857,0.10287961752790985,0.005152499164002135,0.07369853321599897,0.6564368035935598,0.6832298106256781,0.026793007032118288,0.96875,0.9562500000000002,0.23750000000000004,0.23125000000000018
ENV-3,610107,L0,6,4,0.8636363636363636,0.8181818181818182,0.045454545454545414,0.9999975719831163,0.994666830305138,1.0,1.0,0.999997842909584,0.9974611897856106,0.1279356280205566,0.07362915875579107,0.00276640222743149,0.2400192438635839,0.4042781576058126,0.4106628164757115,0.006384658869898918,0.7727272727272727,0.790909090909091,-0.09090909090909094,-0.027272727272727226
ENV-3,610107,L1,8,8,0.5454545454545454,0.5333333333333333,0.012121212121212088,0.9186608079410439,0.9103216834164494,1.0,1.0,0.894943569291295,0.8939468801034701,0.20977436584754172,0.08831806691154659,0.004024782111654385,0.11691616963813499,0.4669871632401094,0.49191876800940687,0.024931604769297455,0.8454545454545455,0.7848484848484848,0.30000000000000004,0.25151515151515147
ENV-3,610107,L2,8,8,0.7636363636363637,0.7181818181818183,0.045454545454545414,0.9879295975726441,0.9808836011497524,1.0,1.0,0.9893153453322563,0.9848111072264064,0.15432426448732767,0.06269719598280125,0.0019793659064739682,0.11869468037987659,0.36228141755129933,0.388173500959668,0.025892083408368682,0.8,0.793939393939394,0.036363636363636376,0.07575757575757569
ENV-3,610107,L3,8,8,0.5454545454545454,0.5424242424242424,0.00303030303030305,0.9191624916653145,0.9106919068546561,1.0,1.0,0.8950159609822674,0.8939658384582724,0.20915867191759174,0.08799317454172688,0.0040011143501541046,0.11563094183145343,0.46546332423091635,0.49105435318820173,0.025591028957285378,0.8454545454545455,0.7999999999999999,0.30000000000000004,0.25757575757575757
ENV-3,610107,L4,8,8,0.509090909090909,0.5181818181818181,-0.009090909090909038,0.9402334878541105,0.9303928122437906,0.9833333333333334,0.9777777777777779,0.8758938929362557,0.8719980209835195,0.21375094141876164,0.09570057508561175,0.004815507184524711,0.11013857569567494,0.4668678828215073,0.49393626139320207,0.02706837857169475,0.7454545454545455,0.7393939393939393,0.23636363636363644,0.2212121212121212
ENV-4,610101,L0,8,8,0.9777777777777777,0.9703703703703703,0.007407407407407418,1.0,1.0,nan,nan,0.9999990566136719,0.997857390643551,0.1666354627467073,0.048624919079259206,0.0010489851661439889,0.09314177742291825,1.2633664378994058,1.2791892987831337,0.015822860883727863,1.0,1.0,0.022222222222222254,0.029629629629629672
ENV-4,610101,L1,8,8,0.9777777777777777,0.9759259259259259,0.0018518518518518823,0.9861111111111112,0.9837962962962963,nan,nan,0.5413894558086473,0.5375195106577381,0.17301790425793717,0.07371186346376772,0.002488018248825375,0.09580357275066563,0.7474759197870112,0.7575898172760177,0.010113897489006485,0.9833333333333333,0.9833333333333333,0.005555555555555536,0.007407407407407418
ENV-4,610101,L2,8,8,0.7833333333333333,0.7888888888888889,-0.005555555555555536,0.9001984126984127,0.892526455026455,nan,nan,0.8515131494907626,0.84421768133699,0.15610969299164232,0.061186029320052106,0.001973099633815099,0.08731186582548067,0.745551630858864,0.7583096880897432,0.012758057230879194,0.8722222222222222,0.8814814814814814,0.0888888888888889,0.09259259259259256
ENV-4,610101,L3,8,8,0.9777777777777777,0.974074074074074,0.0037037037037037646,0.9861111111111112,0.9837962962962963,nan,nan,0.5290303699391005,0.5324759515645523,0.172598049666568,0.07337576414038276,0.002492553324617253,0.09545032929598973,0.7541178420006076,0.7634807065168463,0.00936286451623869,0.9833333333333333,0.9833333333333333,0.005555555555555536,0.0092592592592593
ENV-4,610101,L4,8,8,0.9611111111111111,0.9481481481481481,0.012962962962963065,0.962083973374296,0.9561849291688002,nan,nan,0.5253217239994119,0.5260379349934902,0.17459647598940684,0.07388988457157625,0.0025676259713189467,0.09858667683167115,0.7460974200852453,0.7558196744787926,0.009722254393547347,0.9777777777777777,0.9759259259259259,0.016666666666666607,0.02777777777777779
ENV-4,610103,L0,8,8,0.9888888888888889,0.987037037037037,0.0018518518518518823,1.0,1.0,nan,nan,0.9999990573463576,0.997935701119599,0.16153940990237592,0.04825822845945252,0.0010486236781104,0.08995114697131969,1.2509737109219583,1.261481964604133,0.010508253682174784,1.0,1.0,0.011111111111111072,0.012962962962962954
ENV-4,610103,L1,8,8,0.8111111111111111,0.8148148148148149,-0.0037037037037037646,0.8577410130718954,0.8494689542483661,nan,nan,0.5352581686266636,0.5344339271033293,0.16600064849093463,0.076639087713195,0.0034002412446198275,0.09305074037381428,0.7155812260093367,0.7259717443117092,0.010390518302372476,0.8666666666666667,0.8759259259259259,0.05555555555555558,0.061111111111111005
ENV-4,610103,L2,8,8,0.8888888888888888,0.887037037037037,0.0018518518518518823,0.9647671568627452,0.9469294662309368,nan,nan,0.6376715679898417,0.6351549096132267,0.1437875126908705,0.061663851262019155,0.002137709263117357,0.0779441430767719,0.6846564180017803,0.6991830087595714,0.014526590757791058,0.9055555555555556,0.9018518518518519,0.01666666666666672,0.014814814814814947
